*** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 31 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 35512 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]  24.40-24.50  sec   128 KBytes  10.5 Mbits/sec    0   48.1 KBytes       
[  5]  24.50-24.60  sec  0.00 Bytes  0.00 Mbits/sec    0   48.1 KBytes       
[  5]  24.60-24.70  sec  0.00 Bytes  0.00 Mbits/sec    0   48.1 KBytes       
[  5]  24.70-24.80  sec  0.00 Bytes  0.00 Mbits/sec    0   49.5 KBytes       
[  5]  24.80-24.90  sec   128 KBytes  10.5 Mbits/sec    0   49.5 KBytes       
[  5]  24.90-25.00  sec  0.00 Bytes  0.00 Mbits/sec    0   49.5 KBytes       
[  5]  25.00-25.10  sec  0.00 Bytes  0.00 Mbits/sec    0   49.5 KBytes       
[  5]  25.10-25.20  sec  0.00 Bytes  0.00 Mbits/sec    2   33.9 KBytes       
[  5]  25.20-25.30  sec  0.00 Bytes  0.00 Mbits/sec    0   33.9 KBytes       
[  5]  25.30-25.40  sec   128 KBytes  10.5 Mbits/sec    0   33.9 KBytes       
[  5]  25.40-25.50  sec  0.00 Bytes  0.00 Mbits/sec    0   36.8 KBytes       
[  5]  25.50-25.60  sec  0.00 Bytes  0.00 Mbits/sec    0   38.2 KBytes       
[  5]  25.60-25.70  sec  0.00 Bytes  0.00 Mbits/sec    0   39.6 KBytes       
[  5]  25.70-25.80  sec  0.00 Bytes  0.00 Mbits/sec    0   41.0 KBytes       
[  5]  25.80-25.90  sec   128 KBytes  10.5 Mbits/sec    0   42.4 KBytes       
[  5]  25.90-26.00  sec  0.00 Bytes  0.00 Mbits/sec    0   42.4 KBytes       
[  5]  26.00-26.10  sec  0.00 Bytes  0.00 Mbits/sec    0   43.8 KBytes       
[  5]  26.10-26.20  sec  0.00 Bytes  0.00 Mbits/sec    0   45.2 KBytes       
[  5]  26.20-26.30  sec  0.00 Bytes  0.00 Mbits/sec    0   45.2 KBytes       
[  5]  26.30-26.40  sec   128 KBytes  10.5 Mbits/sec    0   46.7 KBytes       
[  5]  26.40-26.50  sec  0.00 Bytes  0.00 Mbits/sec    0   48.1 KBytes       
[  5]  26.50-26.60  sec  0.00 Bytes  0.00 Mbits/sec    0   48.1 KBytes       
[  5]  26.60-26.70  sec  0.00 Bytes  0.00 Mbits/sec    0   48.1 KBytes       
