(10.00Mbit 75ms delay 0.00000% loss) (10.00Mbit 75ms delay 0.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) (100.00Mbit 1ms delay 5.00000% loss) *** Configuring hosts
h1 h2 r1 
[sidecar] Setting congestion control to cubic
[sidecar] tso and gso are OFF
[sidecar] Starting the NGINX/Python webserver on h1...
[sidecar] NOT starting the TCP PEP or sidecar
*** h2 : ('iperf3 -c 10.0.1.10 -t 150 -f m -b 20M -C cubic -i 0.1',)
Connecting to host 10.0.1.10, port 5201
[  5] local 10.0.2.10 port 58004 connected to 10.0.1.10 port 5201
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   7.80-7.90   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   7.90-8.00   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   8.00-8.10   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   8.10-8.20   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   8.20-8.30   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   8.30-8.40   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   8.40-8.50   sec  0.00 Bytes  0.00 Mbits/sec    0   8.48 KBytes       
[  5]   8.50-8.60   sec  0.00 Bytes  0.00 Mbits/sec    2   5.66 KBytes       
[  5]   8.60-8.70   sec   127 KBytes  10.4 Mbits/sec    0   5.66 KBytes       
[  5]   8.70-8.80   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
[  5]   8.80-8.90   sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]   8.90-9.00   sec  0.00 Bytes  0.00 Mbits/sec    1   4.24 KBytes       
[  5]   9.00-9.10   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   9.10-9.20   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   9.20-9.30   sec  0.00 Bytes  0.00 Mbits/sec    0   4.24 KBytes       
[  5]   9.30-9.40   sec  0.00 Bytes  0.00 Mbits/sec    0   5.66 KBytes       
